date,forecasted_value,lower_bound,upper_bound,service_name,metric
2026-06-15,31.526171407603677,24.428526428850915,38.61507588574389,Patient Portal,cpu
2026-06-16,31.855517370753024,24.749197520572945,38.403518019387285,Patient Portal,cpu
2026-06-17,31.90773274853345,24.925233468845498,38.9353549929231,Patient Portal,cpu
2026-06-18,33.535356814899934,26.361177942514722,40.37565152263697,Patient Portal,cpu
2026-06-19,31.82286499551597,25.059939035351025,38.40857797129828,Patient Portal,cpu
2026-06-20,30.46540407269849,23.11744240122855,37.23453543374858,Patient Portal,cpu
2026-06-21,32.38434088583154,25.899796880514494,39.11625900542452,Patient Portal,cpu
2026-06-22,31.853021240555034,24.67709325476404,38.62284589640661,Patient Portal,cpu
2026-06-23,32.220929723064934,25.663488025861017,39.12377673320603,Patient Portal,cpu
2026-06-24,32.308647170370214,25.74475252548243,40.21823921669583,Patient Portal,cpu
2026-06-25,33.96812628097336,27.48655613274663,41.28064041593772,Patient Portal,cpu
2026-06-26,32.2833593778003,25.064119259770443,38.986593272746724,Patient Portal,cpu
2026-06-27,30.949126635742637,23.585270202360473,38.25749566788116,Patient Portal,cpu
2026-06-28,32.88655447754377,25.872960138499916,39.773381498222115,Patient Portal,cpu
2026-06-29,32.36888058518544,25.64288064077121,39.40118280735685,Patient Portal,cpu
2026-06-30,32.74561605510928,25.244179266449787,39.21850656356381,Patient Portal,cpu
2026-07-01,32.83750138369416,25.93679003929822,40.08761434629594,Patient Portal,cpu
2026-07-02,34.49677680752725,27.84791278670503,41.683599879153896,Patient Portal,cpu
2026-07-03,32.807841154767964,25.71535185589993,40.449861814957714,Patient Portal,cpu
2026-07-04,31.465987764601564,23.923662682483446,38.29101362713062,Patient Portal,cpu
2026-07-05,33.39294751695327,26.51064427502055,40.08613514339629,Patient Portal,cpu
2026-07-06,32.862635843043726,26.195724469800137,39.678826149358144,Patient Portal,cpu
2026-07-07,33.22529474167142,26.372077526857133,40.759539837172284,Patient Portal,cpu
2026-07-08,33.30242704440127,26.65720889258979,40.527949103487806,Patient Portal,cpu
2026-07-09,34.947044055801506,27.33987478542826,42.030473931707746,Patient Portal,cpu
2026-07-10,33.244301355129906,26.55694777173316,39.77904474022144,Patient Portal,cpu
2026-07-11,31.890211958055755,25.141362776456653,38.694493650055236,Patient Portal,cpu
2026-07-12,33.80716751581601,27.129662821975256,40.94737255825063,Patient Portal,cpu
2026-07-13,33.269665034281445,25.99337407897655,40.62119665848943,Patient Portal,cpu
2026-07-14,33.62843070902121,26.872945768105637,40.60541207762065,Patient Portal,cpu
2026-07-15,33.705338634671435,26.97489821704262,41.02835744517493,Patient Portal,cpu
2026-07-16,35.353645959437266,27.926424038009895,42.00292173016414,Patient Portal,cpu
2026-07-17,33.65861963286501,26.523514445766505,40.32895392805786,Patient Portal,cpu
2026-07-18,32.31624421417873,25.130232494230484,39.114160226826506,Patient Portal,cpu
2026-07-19,34.248741587086315,26.900470414068007,41.68538060065394,Patient Portal,cpu
2026-07-20,33.73030012566981,26.657543289506794,40.68899015921022,Patient Portal,cpu
2026-07-21,34.11120486325668,27.444811094521807,41.140058698906344,Patient Portal,cpu
2026-07-22,34.21276627107568,27.392180479513335,41.644891897287344,Patient Portal,cpu
2026-07-23,35.88756896376304,29.265704183707193,43.01602173644477,Patient Portal,cpu
2026-07-24,34.2201151303462,26.268835134221874,40.83497184581378,Patient Portal,cpu
2026-07-25,32.90555172188145,26.1800088834168,40.022698534907576,Patient Portal,cpu
2026-07-26,34.865211731019635,27.83240296704554,41.83990876476725,Patient Portal,cpu
2026-07-27,34.37236653677549,27.574733951313842,41.36588638559566,Patient Portal,cpu
2026-07-28,34.77638024975766,27.835457967581814,41.981945670831344,Patient Portal,cpu
2026-07-29,34.897663019850235,28.192337061039677,41.98156782836728,Patient Portal,cpu
2026-07-30,36.58794396785676,29.60970603836341,44.01124187053889,Patient Portal,cpu
2026-07-31,34.93093789158774,28.29650148192447,41.64223808165607,Patient Portal,cpu
2026-08-01,33.6210941544601,26.48572091527394,40.523563943718585,Patient Portal,cpu
2026-08-02,35.57915751098013,29.160082182402267,42.07715450578654,Patient Portal,cpu
2026-08-03,35.077937319822624,28.342700394874008,42.269724883403406,Patient Portal,cpu
2026-08-04,35.46647562945078,28.536882290094553,42.34762004561554,Patient Portal,cpu
2026-08-05,35.56501073299989,29.057861243356918,42.51151798472943,Patient Portal,cpu
2026-08-06,37.22525658345467,30.50394197784322,44.021164107635514,Patient Portal,cpu
2026-08-07,35.53107205103247,28.875610859198922,42.16937164601239,Patient Portal,cpu
2026-08-08,34.17720836934763,27.786463313322994,40.8769886336715,Patient Portal,cpu
2026-08-09,36.08486457070101,29.176437681372313,43.3894197555798,Patient Portal,cpu
2026-08-10,35.52744751434125,28.859604316247424,42.614333354232876,Patient Portal,cpu
2026-08-11,35.85472724750303,28.775995734302132,42.820563071457606,Patient Portal,cpu
2026-08-12,35.887784645497376,29.051283976925273,42.564088598527135,Patient Portal,cpu
2026-08-13,37.47927215617396,30.586077911289276,44.48620839514601,Patient Portal,cpu
2026-08-14,35.71406213716753,29.129568743176186,42.52228054058231,Patient Portal,cpu
2026-08-15,34.28797169678382,27.365576065916294,41.101243703539865,Patient Portal,cpu
2026-08-16,36.12329444496625,29.28994338272714,43.142526525229854,Patient Portal,cpu
2026-08-17,35.49453638898713,28.87506937688629,42.770447146093495,Patient Portal,cpu
2026-08-18,35.752547350946415,28.609550891471617,42.70994140021045,Patient Portal,cpu
2026-08-19,35.71944547983388,28.65486460565638,42.69272090815876,Patient Portal,cpu
2026-08-20,37.24885628062491,30.367333944664374,44.71638033166078,Patient Portal,cpu
2026-08-21,35.42654120073907,28.910285182998596,42.18747116024474,Patient Portal,cpu
2026-08-22,33.94910517504486,26.555850204307248,40.703965775336606,Patient Portal,cpu
2026-08-23,35.73951395238392,28.796144603225716,42.81908226375317,Patient Portal,cpu
2026-08-24,35.07281876754518,28.19312587453121,41.7323922798585,Patient Portal,cpu
2026-08-25,35.30027997113934,28.160331533514547,41.914334083787885,Patient Portal,cpu
2026-08-26,35.24428732372815,28.492422785961573,42.557719829660385,Patient Portal,cpu
2026-08-27,36.75859840628433,29.613963478847104,43.916772159314974,Patient Portal,cpu
2026-08-28,34.928970112546644,28.14849733027197,42.10523326879087,Patient Portal,cpu
2026-08-29,33.451872448408004,26.24653607321795,39.957272994436316,Patient Portal,cpu
2026-08-30,35.25001518970541,28.53919860781522,42.199465138367486,Patient Portal,cpu
2026-08-31,34.59808460443747,27.593605370876634,40.55267707096322,Patient Portal,cpu
